45,www.bilibili.com/video/BV1ub4y1t7ec,我有帽子猫啦！,红糖打年糕,94.7万,1607
46,www.bilibili.com/video/BV1YZ4y1R7Hb,寄,Liz5187,478.4万,3206
47,www.bilibili.com/video/BV1QF411E7fz,我买了一些好玩的！,贤宝宝Baby,91.1万,7619
48,www.bilibili.com/video/BV1NT4y1Q7dJ,生辰纲：危！搞事七人组集结！《水浒传》P9（七星聚义）,木鱼水心,76.7万,1.4万
49,www.bilibili.com/video/BV14u411X7H7,【医学博士】祸从口入，一口吃掉6000只寄生虫？I 人类最容易感染的三种寄生虫,兔叭咯,107.1万,5775
50,www.bilibili.com/video/BV14341177vs,新疆民警在快餐店门口取暖，店员这一举动太暖,新疆共青团,138.6万,1428
51,www.bilibili.com/video/BV1i34y1C7Mb,高中忙的理所应当 大学忙的莫名其妙,张凤霞111,121.6万,850
52,www.bilibili.com/video/BV1Bq4y1t7AY,这一晃居然已经10年了,熊出没BoonieBears,90.9万,2940
53,www.bilibili.com/video/BV17m4y1o7nm,缉毒民警牺牲前的最后一餐也没能好好吃,中国警察网,111.4万,5084
54,www.bilibili.com/video/BV13q4y1t7V8,这屑狐狸竟如此的甜美!,KKOMDA,145.7万,1061
55,www.bilibili.com/video/BV1ju411X7mx,疯了！好吃到疯了！【会爆浆的鸡腿】非常的哇塞！,龙帅食堂,115.3万,277
56,www.bilibili.com/video/BV17r4y1r7mS,邮局咖啡特此声明,中国邮政,147.8万,3274
57,www.bilibili.com/video/BV1D34y1C7hC,【路温】《豆瓣2.7分》,路温1900,119.3万,1.2万
58,www.bilibili.com/video/BV18S4y1r7DX,“满级动物行为大赏”,人间迷惑行为大赏V,142万,1385
59,www.bilibili.com/video/BV1FF411E7WT,萨拉伯尔  厨子探店¥1313,真探唐仁杰,169.4万,6062
60,www.bilibili.com/video/BV1Va41117B2,网络热门事件分析：飘移死活学不会？那就上特效吧……,杨慢慢追风逐日,196.3万,615
61,www.bilibili.com/video/BV1QL4y137Ye,《关于上了两年网课的我返校走错学校这件事》,迷人的大反派喔,142.5万,139
